SPEED,Cross_Section,Layer,SHAPE,YIELD,ERVALUE ORIGINAL,ER PREDICTED,VARIATION %
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,1,1,0,569.391,569.391,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,2,1,0,571.976,571.976,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,3,1,0,574.56,574.56,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,4,1,0,577.144,577.144,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,5,1,0,579.728,579.728,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,1,2,0,569.391,569.391,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,2,2,0,571.976,571.976,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
100,785.4,3,2,0,574.56,574.56,0
