SPEED,Cross_Section,Layer,SHAPE,CASTER,GEO_FAULT,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,0,0,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,1,1,2,3,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,-2,5,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,2,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,3,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,4,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,785.40,5,1,0,0,
100,384.85,1,3,1,1,
100,384.85,2,3,1,1,
100,384.85,4,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,1,3,1,1,
100,384.85,2,3,1,1,
100,384.85,4,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,1,3,1,1,
100,384.85,2,3,1,1,
100,384.85,4,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,1,3,1,1,
100,384.85,2,3,1,1,
100,384.85,4,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,1,3,1,1,
100,384.85,2,3,1,1,
100,384.85,4,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,1,3,1,1,
100,384.85,2,3,1,1,
100,384.85,4,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,384.85,5,3,1,1,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,1,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,2,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,3,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
100,785.40,4,3,0,0,
