SPEED,Tension,Cross_Section,Layer,SHAPE,YIELD,ERVALUE
100,42,0.7854,1,1,0,569.391
100,44,0.7854,1,1,0,569.391
100,43,0.7854,1,1,0,569.391
100,37,0.7854,1,1,0,569.391
100,39,0.7854,1,1,0,569.391
100,42,0.7854,1,1,0,569.391
100,43,0.7854,1,1,0,569.391
100,43,0.7854,1,1,0,569.391
100,42,0.7854,1,1,0,569.391
100,42,0.7854,1,1,0,569.391
100,39,0.7854,1,1,0,569.391
100,42,0.7854,1,1,0,569.391
100,43,0.7854,1,1,0,569.391
100,41,0.7854,1,1,0,569.391
100,42,0.7854,1,1,0,569.391
100,42,0.7854,1,1,0,569.391
100,41,0.7854,1,1,0,569.391
100,43,0.7854,1,1,0,569.391
100,42,0.7854,1,1,0,569.391
100,43,0.7854,1,1,0,569.391
100,44,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,43,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,43,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,38,0.7854,2,1,0,571.976
100,37,0.7854,2,1,0,571.976
100,41,0.7854,2,1,0,571.976
100,38,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,43,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,39,0.7854,2,1,0,571.976
100,42,0.7854,2,1,0,571.976
100,41,0.7854,2,1,0,571.976
100,37,0.7854,3,1,0,574.56
100,39,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,38,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,39,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,42,0.7854,3,1,0,574.56
100,42,0.7854,3,1,0,574.56
100,38,0.7854,3,1,0,574.56
100,42,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,42,0.7854,3,1,0,574.56
100,42,0.7854,3,1,0,574.56
100,41,0.7854,3,1,0,574.56
100,42,0.7854,4,1,0,577.144
100,38,0.7854,4,1,0,577.144
100,42,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,38,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,42,0.7854,4,1,0,577.144
100,42,0.7854,4,1,0,577.144
100,38,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,42,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,42,0.7854,4,1,0,577.144
100,42,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,42,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,41,0.7854,4,1,0,577.144
100,42,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,39,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,39,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,42,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,41,0.7854,5,1,0,579.728
100,42,0.7854,1,2,0,569.391
100,44,0.7854,1,2,0,569.391
100,43,0.7854,1,2,0,569.391
100,37,0.7854,1,2,0,569.391
100,39,0.7854,1,2,0,569.391
100,42,0.7854,1,2,0,569.391
100,43,0.7854,1,2,0,569.391
100,43,0.7854,1,2,0,569.391
100,42,0.7854,1,2,0,569.391
100,42,0.7854,1,2,0,569.391
100,39,0.7854,1,2,0,569.391
100,42,0.7854,1,2,0,569.391
100,43,0.7854,1,2,0,569.391
100,41,0.7854,1,2,0,569.391
100,42,0.7854,1,2,0,569.391
100,42,0.7854,1,2,0,569.391
100,41,0.7854,1,2,0,569.391
100,43,0.7854,1,2,0,569.391
100,42,0.7854,1,2,0,569.391
100,43,0.7854,1,2,0,569.391
100,44,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,43,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,43,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,38,0.7854,2,2,0,571.976
100,37,0.7854,2,2,0,571.976
100,41,0.7854,2,2,0,571.976
100,38,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,43,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,39,0.7854,2,2,0,571.976
100,42,0.7854,2,2,0,571.976
100,41,0.7854,2,2,0,571.976
100,37,0.7854,3,2,0,574.56
100,39,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,38,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,39,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,42,0.7854,3,2,0,574.56
100,42,0.7854,3,2,0,574.56
100,38,0.7854,3,2,0,574.56
100,42,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,42,0.7854,3,2,0,574.56
100,42,0.7854,3,2,0,574.56
100,41,0.7854,3,2,0,574.56
100,42,0.7854,4,2,0,577.144
100,38,0.7854,4,2,0,577.144
100,42,0.7854,4,2,0,577.144
