SPEED,Tension,Cross_Section,Layer,SHAPE,CASTER,GEO_FAULT
100,42,0.7854,1,1,0,0
100,44,0.7854,1,1,0,0
100,43,0.7854,1,1,0,0
100,37,0.7854,1,1,0,0
100,39,0.7854,1,1,0,0
100,42,0.7854,1,1,0,0
100,43,0.7854,1,1,0,0
100,43,0.7854,1,1,0,0
100,42,0.7854,1,1,0,0
100,42,0.7854,1,1,2,3
100,39,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,43,0.7854,1,1,2,3
100,41,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,41,0.7854,1,1,2,3
100,43,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,43,0.7854,1,1,2,3
100,44,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,43,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,43,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,38,0.7854,2,1,-2,5
100,37,0.7854,2,1,-2,5
100,41,0.7854,2,1,-2,5
100,38,0.7854,2,1,-2,5
100,42,0.7854,2,1,0,0
100,43,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,39,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,41,0.7854,2,1,0,0
100,37,0.7854,3,1,0,0
100,39,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,38,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,39,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,38,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,42,0.7854,4,1,0,0
100,38,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,38,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,38,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,39,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,39,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,43,0.384846,1,3,1,1
100,38,0.384846,2,3,1,1
100,41,0.384846,4,3,1,1
100,42,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,43,0.384846,1,3,1,1
100,38,0.384846,2,3,1,1
100,41,0.384846,4,3,1,1
100,42,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,43,0.384846,1,3,1,1
100,38,0.384846,2,3,1,1
100,41,0.384846,4,3,1,1
100,42,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,43,0.384846,1,3,1,1
100,38,0.384846,2,3,1,1
100,41,0.384846,4,3,1,1
100,42,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,43,0.384846,1,3,1,1
100,38,0.384846,2,3,1,1
100,41,0.384846,4,3,1,1
100,42,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,43,0.384846,1,3,1,1
100,38,0.384846,2,3,1,1
100,41,0.384846,4,3,1,1
100,42,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,41,0.384846,5,3,1,1
100,42,0.7854,1,3,0,0
100,39,0.7854,1,3,0,0
100,42,0.7854,1,3,0,0
100,43,0.7854,1,3,0,0
100,41,0.7854,1,3,0,0
100,42,0.7854,1,3,0,0
100,42,0.7854,1,3,0,0
100,41,0.7854,1,3,0,0
100,43,0.7854,1,3,0,0
100,42,0.7854,1,3,0,0
100,43,0.7854,1,3,0,0
100,44,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,43,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,43,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,38,0.7854,2,3,0,0
100,37,0.7854,2,3,0,0
100,41,0.7854,2,3,0,0
100,38,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,43,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,39,0.7854,2,3,0,0
100,42,0.7854,2,3,0,0
100,41,0.7854,2,3,0,0
100,37,0.7854,3,3,0,0
100,39,0.7854,3,3,0,0
100,41,0.7854,3,3,0,0
100,41,0.7854,3,3,0,0
100,38,0.7854,3,3,0,0
100,41,0.7854,3,3,0,0
100,41,0.7854,3,3,0,0
100,39,0.7854,3,3,0,0
100,41,0.7854,3,3,0,0
100,41,0.7854,3,3,0,0
100,41,0.7854,3,3,0,0
100,42,0.7854,3,3,0,0
