SPEED,Tension,Cross_Section,Layer,SHAPE,YIELD,ERVALUE
100,42,0.7854,1,1,0,569.39139
100,44,0.7854,1,1,0,569.39139
100,43,0.7854,1,1,0,569.39139
100,37,0.7854,1,1,0,569.39139
100,39,0.7854,1,1,0,569.39139
100,42,0.7854,1,1,0,569.39139
100,43,0.7854,1,1,0,569.39139
100,43,0.7854,1,1,0,569.39139
100,42,0.7854,1,1,0,569.39139
100,42,0.7854,1,1,0,569.39139
100,39,0.7854,1,1,0,569.39139
100,42,0.7854,1,1,0,569.39139
100,43,0.7854,1,1,0,569.39139
100,41,0.7854,1,1,0,569.39139
100,42,0.7854,1,1,0,569.39139
100,42,0.7854,1,1,0,569.39139
100,41,0.7854,1,1,0,569.39139
100,43,0.7854,1,1,0,569.39139
100,42,0.7854,1,1,0,569.39139
100,43,0.7854,1,1,0,569.39139
100,44,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,43,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,43,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,38,0.7854,2,1,0,571.97555
100,37,0.7854,2,1,0,571.97555
100,41,0.7854,2,1,0,571.97555
100,38,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,43,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,39,0.7854,2,1,0,571.97555
100,42,0.7854,2,1,0,571.97555
100,41,0.7854,2,1,0,571.97555
100,37,0.7854,3,1,0,574.55971
100,39,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,38,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,39,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,42,0.7854,3,1,0,574.55971
100,42,0.7854,3,1,0,574.55971
100,38,0.7854,3,1,0,574.55971
100,42,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,42,0.7854,3,1,0,574.55971
100,42,0.7854,3,1,0,574.55971
100,41,0.7854,3,1,0,574.55971
100,42,0.7854,4,1,0,577.14388
100,38,0.7854,4,1,0,577.14388
100,42,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,38,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,42,0.7854,4,1,0,577.14388
100,42,0.7854,4,1,0,577.14388
100,38,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,42,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,42,0.7854,4,1,0,577.14388
100,42,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,42,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,41,0.7854,4,1,0,577.14388
100,42,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,39,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,39,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
100,42,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
100,41,0.7854,5,1,0,579.72804
125,42,0.7854,1,1,0,569.39139
125,44,0.7854,1,1,0,569.39139
125,44,0.7854,1,1,0,569.39139
125,37,0.7854,1,1,0,569.39139
125,39,0.7854,1,1,0,569.39139
125,42,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,39,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,42,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,43,0.7854,1,1,0,569.39139
125,42,0.7854,1,1,0,569.39139
125,44,0.7854,1,1,0,569.39139
125,42,0.7854,1,1,0,569.39139
125,44,0.7854,1,1,0,569.39139
125,45,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,44,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,44,0.7854,2,1,0,571.97555
125,43,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,43,0.7854,2,1,0,571.97555
125,38,0.7854,2,1,0,571.97555
125,37,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,38,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,44,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,39,0.7854,2,1,0,571.97555
125,42,0.7854,2,1,0,571.97555
125,41,0.7854,2,1,0,571.97555
125,37,0.7854,3,1,0,574.55971
125,39,0.7854,3,1,0,574.55971
125,41,0.7854,3,1,0,574.55971
125,42,0.7854,3,1,0,574.55971
125,38,0.7854,3,1,0,574.55971
125,42,0.7854,3,1,0,574.55971
125,42,0.7854,3,1,0,574.55971
125,39,0.7854,3,1,0,574.55971
125,41,0.7854,3,1,0,574.55971
125,41,0.7854,3,1,0,574.55971
125,41,0.7854,3,1,0,574.55971
125,43,0.7854,3,1,0,574.55971
125,43,0.7854,3,1,0,574.55971
125,38,0.7854,3,1,0,574.55971
125,42,0.7854,3,1,0,574.55971
125,42,0.7854,3,1,0,574.55971
125,41,0.7854,3,1,0,574.55971
125,43,0.7854,3,1,0,574.55971
125,43,0.7854,3,1,0,574.55971
125,41,0.7854,3,1,0,574.55971
125,42,0.7854,4,1,0,577.14388
125,38,0.7854,4,1,0,577.14388
125,42,0.7854,4,1,0,577.14388
125,41,0.7854,4,1,0,577.14388
125,38,0.7854,4,1,0,577.14388
125,41,0.7854,4,1,0,577.14388
125,42,0.7854,4,1,0,577.14388
125,43,0.7854,4,1,0,577.14388
125,43,0.7854,4,1,0,577.14388
125,38,0.7854,4,1,0,577.14388
125,42,0.7854,4,1,0,577.14388
125,42,0.7854,4,1,0,577.14388
125,43,0.7854,4,1,0,577.14388
125,41,0.7854,4,1,0,577.14388
125,43,0.7854,4,1,0,577.14388
125,43,0.7854,4,1,0,577.14388
125,41,0.7854,4,1,0,577.14388
125,43,0.7854,4,1,0,577.14388
125,42,0.7854,4,1,0,577.14388
125,42,0.7854,4,1,0,577.14388
125,43,0.7854,5,1,0,579.72804
125,41,0.7854,5,1,0,579.72804
125,42,0.7854,5,1,0,579.72804
125,43,0.7854,5,1,0,579.72804
125,43,0.7854,5,1,0,579.72804
125,41,0.7854,5,1,0,579.72804
125,43,0.7854,5,1,0,579.72804
125,43,0.7854,5,1,0,579.72804
125,39,0.7854,5,1,0,579.72804
125,43,0.7854,5,1,0,579.72804
125,42,0.7854,5,1,0,579.72804
125,39,0.7854,5,1,0,579.72804
125,41,0.7854,5,1,0,579.72804
125,42,0.7854,5,1,0,579.72804
125,42,0.7854,5,1,0,579.72804
125,41,0.7854,5,1,0,579.72804
125,41,0.7854,5,1,0,579.72804
125,43,0.7854,5,1,0,579.72804
125,41,0.7854,5,1,0,579.72804
125,41,0.7854,5,1,0,579.72804
150,42,0.7854,1,1,0,569.39139
150,44,0.7854,1,1,0,569.39139
150,44,0.7854,1,1,0,569.39139
150,37,0.7854,1,1,0,569.39139
150,39,0.7854,1,1,0,569.39139
150,42,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,39,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,42,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,43,0.7854,1,1,0,569.39139
150,42,0.7854,1,1,0,569.39139
150,44,0.7854,1,1,0,569.39139
150,42,0.7854,1,1,0,569.39139
150,44,0.7854,1,1,0,569.39139
150,45,0.7854,2,1,0,571.97555
150,42,0.7854,2,1,0,571.97555
150,42,0.7854,2,1,0,571.97555
150,42,0.7854,2,1,0,571.97555
