SPEED,Tension,Cross_Section,Layer,SHAPE,CASTER,GEO_FAULT
100,42,0.7854,1,1,0,0
100,44,0.7854,1,1,0,0
100,43,0.7854,1,1,0,0
100,37,0.7854,1,1,0,0
100,39,0.7854,1,1,0,0
100,42,0.7854,1,1,0,0
100,43,0.7854,1,1,0,0
100,43,0.7854,1,1,0,0
100,42,0.7854,1,1,0,0
100,42,0.7854,1,1,2,3
100,39,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,43,0.7854,1,1,2,3
100,41,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,41,0.7854,1,1,2,3
100,43,0.7854,1,1,2,3
100,42,0.7854,1,1,2,3
100,43,0.7854,1,1,2,3
100,44,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,43,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,43,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,42,0.7854,2,1,-2,5
100,38,0.7854,2,1,-2,5
100,37,0.7854,2,1,-2,5
100,41,0.7854,2,1,-2,5
100,38,0.7854,2,1,-2,5
100,42,0.7854,2,1,0,0
100,43,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,39,0.7854,2,1,0,0
100,42,0.7854,2,1,0,0
100,41,0.7854,2,1,0,0
100,37,0.7854,3,1,0,0
100,39,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,38,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,39,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,38,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,42,0.7854,3,1,0,0
100,41,0.7854,3,1,0,0
100,42,0.7854,4,1,0,0
100,38,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,38,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,38,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,41,0.7854,4,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,39,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,39,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,42,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
100,41,0.7854,5,1,0,0
125,42,0.7854,1,1,0,0
125,44,0.7854,1,1,0,0
125,44,0.7854,1,1,0,0
125,37,0.7854,1,1,0,0
125,39,0.7854,1,1,0,0
125,42,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,39,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,42,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,43,0.7854,1,1,0,0
125,42,0.7854,1,1,0,0
125,44,0.7854,1,1,0,0
125,42,0.7854,1,1,0,0
125,44,0.7854,1,1,0,0
125,45,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,44,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,44,0.7854,2,1,0,0
125,43,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,43,0.7854,2,1,0,0
125,38,0.7854,2,1,0,0
125,37,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,38,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,44,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,39,0.7854,2,1,0,0
125,42,0.7854,2,1,0,0
125,41,0.7854,2,1,0,0
125,37,0.7854,3,1,0,0
125,39,0.7854,3,1,0,0
125,41,0.7854,3,1,0,0
125,42,0.7854,3,1,0,0
125,38,0.7854,3,1,0,0
125,42,0.7854,3,1,0,0
125,42,0.7854,3,1,0,0
125,39,0.7854,3,1,0,0
125,41,0.7854,3,1,0,0
125,41,0.7854,3,1,0,0
125,41,0.7854,3,1,0,0
125,43,0.7854,3,1,0,0
125,43,0.7854,3,1,0,0
125,38,0.7854,3,1,0,0
125,42,0.7854,3,1,0,0
125,42,0.7854,3,1,0,0
125,41,0.7854,3,1,0,0
125,43,0.7854,3,1,0,0
125,43,0.7854,3,1,0,0
125,41,0.7854,3,1,0,0
125,42,0.7854,4,1,0,0
125,38,0.7854,4,1,0,0
125,42,0.7854,4,1,0,0
125,41,0.7854,4,1,0,0
125,38,0.7854,4,1,0,0
125,41,0.7854,4,1,0,0
125,42,0.7854,4,1,0,0
125,43,0.7854,4,1,0,0
125,43,0.7854,4,1,0,0
125,38,0.7854,4,1,0,0
125,42,0.7854,4,1,0,0
125,42,0.7854,4,1,0,0
125,43,0.7854,4,1,0,0
125,41,0.7854,4,1,0,0
125,43,0.7854,4,1,0,0
125,43,0.7854,4,1,0,0
125,41,0.7854,4,1,0,0
125,43,0.7854,4,1,0,0
125,42,0.7854,4,1,0,0
